t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
0.0945,794,3096,1313,496,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1891,3104,6,0,6,295,12,980,133,0
0.1893,794,3096,1313,591,13,2049,11,13,11,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,2015,3292,6,0,6,292,13,1104,166,0
0.2835,794,3096,1313,686,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1934,3125,6,0,6,291,13,1017,93,0
0.3781,794,3096,1313,781,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1915,3104,6,0,6,288,12,995,-1,0
0.4724,794,3096,1313,876,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1927,2992,6,0,6,302,13,1014,117,0
0.5650,794,3096,1313,971,13,2049,11,12,13,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1954,3006,6,0,6,316,13,1050,85,0
0.6597,794,3096,1569,61,13,2049,11,12,13,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1954,3006,6,0,6,316,13,1050,85,0
0.7524,794,3096,1569,156,13,2049,11,11,12,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1880,2869,6,0,6,296,12,962,28,0
0.8451,794,3096,1569,246,13,2049,11,11,13,13,0,0,0,0,0,0,2417,0,0,0,0,0,0,1872,3047,6,0,6,295,12,953,72,0
0.9381,794,3096,1569,336,13,2049,11,12,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1844,2992,6,0,6,302,12,1090,-10,0
1.0312,794,3096,1569,431,13,2049,11,12,12,12,0,0,0,0,0,0,2411,0,0,0,0,0,0,1815,2936,6,0,6,296,12,1007,-50,0
1.1254,794,3096,1569,526,13,2049,11,12,12,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1816,2901,6,0,6,294,12,966,-72,0
1.2206,794,3096,1569,621,13,2049,11,12,12,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1889,3068,6,0,6,303,12,1010,-30,0
1.3131,794,3096,1569,716,13,2049,11,12,13,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1901,2910,6,0,6,300,12,1004,-75,0
1.4060,794,3096,1569,806,13,2049,11,12,13,12,0,0,0,0,0,0,2436,0,0,0,0,0,0,1928,2987,6,0,6,312,13,1029,44,0
1.4988,794,3096,1569,901,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1844,2889,6,0,6,306,12,978,-45,0
