t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
0.0944,794,1049,10784,656,1710,122,1098,13,13,12,0,0,0,0,0,0,2411,0,0,0,0,0,0,1008,176,835,0,836,2,843,8,-11672,0
0.1858,794,1049,10784,751,1710,122,1098,13,13,12,0,0,0,0,0,0,2380,0,0,0,0,0,0,1007,15632,835,0,836,2,843,8,-9511,0
0.2812,794,1049,10784,836,1710,122,1098,12,12,13,0,0,0,0,0,0,2405,0,0,0,0,0,0,1007,22656,835,0,836,2,843,7,5135,0
0.3732,794,1049,10784,931,1710,122,1098,12,12,13,0,0,0,0,0,0,2380,0,0,0,0,0,0,1007,22656,835,0,836,2,843,7,5135,0
0.4655,794,1049,11040,26,1710,122,1098,17,18,20,0,0,0,0,0,0,2386,0,0,0,0,0,0,1009,31408,835,0,836,3,844,11,28185,0
0.5579,794,1049,11040,116,1710,122,1098,15,16,16,0,0,0,0,0,0,2386,0,0,0,0,0,0,1008,-3952,835,0,836,3,843,9,-30964,0
0.6508,794,1049,11040,211,1710,122,1098,15,15,15,0,0,0,0,0,0,2386,0,0,0,0,0,0,1009,22304,835,0,836,2,844,9,-30674,0
0.7435,794,1049,11040,301,1710,122,1098,14,15,14,0,0,0,0,0,0,2380,0,0,0,0,0,0,1008,544,835,0,836,2,843,8,15653,0
0.8360,794,1049,11040,396,1710,122,1098,14,14,14,0,0,0,0,0,0,2367,0,0,0,0,0,0,1008,14816,835,0,836,2,843,8,-27562,0
0.9282,794,1049,11040,486,1710,122,1098,13,13,13,0,0,0,0,0,0,2367,0,0,0,0,0,0,1007,2848,835,0,836,2,842,8,31811,0
1.0205,794,1049,11040,581,1710,122,1098,12,12,12,0,0,0,0,0,0,2392,0,0,0,0,0,0,1007,4832,835,0,836,2,842,7,18717,0
1.1130,794,1049,11040,671,1710,122,1098,11,13,12,0,0,0,0,0,0,2373,0,0,0,0,0,0,1007,24032,835,0,836,2,842,7,-7453,0
1.2055,794,1049,11040,766,1710,122,1097,11,12,11,0,0,0,0,0,0,2373,0,0,0,0,0,0,1006,-27152,835,0,836,2,842,7,-14122,0
1.2977,794,1049,11040,856,1710,122,1097,12,12,11,0,0,0,0,0,0,2386,0,0,0,0,0,0,1006,21184,835,0,836,2,842,7,6524,0
1.3905,794,1049,11040,946,1710,122,1097,122,105,177,0,0,0,0,0,0,2405,0,0,0,0,0,0,1075,-18576,835,0,837,27,900,77,3055,0
1.4832,794,1049,11296,41,1710,122,1097,90,88,125,0,0,0,0,0,0,2392,0,0,0,0,0,0,1052,-11272,835,0,837,22,881,57,-30078,0
1.5758,794,1049,11296,131,1710,122,1097,68,68,82,0,0,0,0,0,0,2386,0,0,0,0,0,0,1040,-2052,835,0,837,16,870,42,-7610,0
1.6685,794,1049,11296,226,1710,122,1097,68,68,82,0,0,0,0,0,0,2373,0,0,0,0,0,0,1040,-2052,835,0,837,16,870,42,-7610,0
1.7614,794,1049,11296,316,1710,122,1097,56,50,55,0,0,0,0,0,0,2373,0,0,0,0,0,0,1033,30914,835,0,837,13,865,34,-30406,0
1.8536,794,1049,11296,411,1710,122,1097,48,44,39,0,0,0,0,0,0,2367,0,0,0,0,0,0,1027,-19021,835,0,836,12,860,29,22818,0
1.9459,794,1049,11296,501,1710,122,1097,37,36,28,0,0,0,0,0,0,2373,0,0,0,0,0,0,1021,-31308,835,0,836,9,854,22,24395,0
2.0383,794,1049,11296,596,1710,122,1097,25,29,22,0,0,0,0,0,0,2386,0,0,0,0,0,0,1014,476,835,0,836,6,849,15,-3351,0
2.1308,794,1049,11296,686,1710,122,1097,23,24,19,0,0,0,0,0,0,2380,0,0,0,0,0,0,1013,-32144,835,0,836,5,847,14,17676,0
2.2228,794,1049,11296,776,1710,122,1097,18,19,16,0,0,0,0,0,0,2386,0,0,0,0,0,0,1010,-12272,835,0,836,4,845,11,20935,0
2.3151,794,1049,11296,866,1710,122,1097,17,18,15,0,0,0,0,0,0,2373,0,0,0,0,0,0,1009,-9720,835,0,836,3,844,10,8645,0
2.4073,794,1049,11296,961,1710,122,1097,15,16,14,0,0,0,0,0,0,2386,0,0,0,0,0,0,1008,-25864,835,0,836,3,843,9,1926,0
2.4997,794,1049,11552,51,1710,122,1097,14,15,13,0,0,0,0,0,0,2373,0,0,0,0,0,0,1008,-27904,835,0,836,3,843,9,-14161,0
2.5922,794,1049,11552,146,1710,122,1097,14,14,13,0,0,0,0,0,0,2373,0,0,0,0,0,0,1007,20160,835,0,836,2,843,9,-16440,0
2.6847,794,1049,11552,236,1710,122,1097,13,15,13,0,0,0,0,0,0,2392,0,0,0,0,0,0,1007,-5792,835,0,836,2,843,8,-12091,0
2.7772,794,1049,11552,331,1710,122,1097,13,14,12,0,0,0,0,0,0,2386,0,0,0,0,0,0,1008,-5744,835,0,836,2,843,8,6500,0
2.8696,794,1049,11552,421,1711,122,1097,13,13,13,0,0,0,0,0,0,2392,0,0,0,0,0,0,1008,-22208,835,0,836,2,843,8,29436,0
2.9625,794,1049,11552,516,1711,122,1097,12,13,12,0,0,0,0,0,0,2386,0,0,0,0,0,0,1007,-28800,835,0,836,2,843,7,-2661,0
3.0549,794,1049,11552,606,1711,122,1097,12,13,12,0,0,0,0,0,0,2373,0,0,0,0,0,0,1007,-28800,835,0,836,2,843,7,-2661,0
3.1461,794,1049,11552,701,1711,122,1097,53,38,49,0,0,0,0,0,0,2392,0,0,0,0,0,0,1029,-16368,835,0,837,12,861,33,-961,0
3.2406,794,1049,11552,791,1711,122,1097,43,41,41,0,0,0,0,0,0,2380,0,0,0,0,0,0,1024,19024,835,0,836,11,857,27,-28554,0
3.3350,794,1049,11552,886,1711,122,1097,90,67,70,151,0,0,0,0,0,2386,8,0,0,283,283,281,1048,30724,835,0,837,23,878,58,26566,0
3.4296,794,1049,11552,981,1711,122,1097,66,66,54,121,0,0,0,0,0,2392,6,0,0,283,283,281,1036,-18050,835,0,837,18,867,41,14094,0
