t_seconds,0x0000,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000A,0x000B,0x000C,0x000D,0x000E,0x000F,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001A,0x001B,0x001C,0x001D,0x001E,0x001F,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002A,0x002B,0x002C,0x002D,0x002E,0x002F,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005A,0x005B,0x005C,0x005D,0x005E,0x005F,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006A,0x006B,0x006C,0x006D,0x006E,0x006F,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007A,0x007B,0x007C
0.2857,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,4901,556,28,40,2034,14,13,18,0,0,0,0,0,0,2367,0,0,0,0,0,0,1530,3440,13,0,13,148,20,582,21,0,0,0,1354,3062,19,0,20,0,27,362,0,0,0,0,1008,0,993,0,993,0,1002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5726,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,4901,841,28,40,2034,12,13,14,0,0,0,0,0,0,2373,0,0,0,0,0,0,1430,2886,13,0,13,147,19,472,26,0,0,0,1348,3091,19,0,19,0,26,356,0,0,0,0,1007,0,993,0,993,0,1000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8590,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5157,126,28,40,2034,14,15,15,0,0,0,0,0,0,2354,0,0,0,0,0,0,1534,3108,13,0,13,156,20,560,-15,0,0,0,1368,3163,19,0,19,0,27,384,0,0,0,0,1007,0,993,0,993,0,1000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1428,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5157,411,28,40,2034,14,12,15,0,0,0,0,0,0,2373,0,0,0,0,0,0,1543,3342,13,0,13,151,21,561,-48,0,0,0,1300,2964,19,0,20,0,26,318,0,0,0,0,1007,0,993,0,993,0,1000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4287,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5157,696,28,40,2034,13,14,16,0,0,0,0,0,0,2354,0,0,0,0,0,0,1542,2986,13,0,13,148,20,559,-150,0,0,0,1306,3038,19,0,20,0,26,376,0,0,0,0,1008,0,993,0,993,0,1001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7133,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5157,981,28,40,2034,14,16,14,0,0,0,0,0,0,2367,0,0,0,0,0,0,1502,3014,13,0,13,166,20,610,-89,0,0,0,1358,2711,19,0,19,0,26,450,0,0,0,0,1007,0,993,0,993,0,1000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9991,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5413,266,28,40,2034,13,12,13,0,0,0,0,0,0,2354,0,0,0,0,0,0,1484,2973,13,0,13,149,20,518,-14,0,0,0,1293,2895,19,0,19,0,25,333,0,0,0,0,1006,0,993,0,993,0,999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2841,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5413,551,28,40,2034,15,12,16,0,0,0,0,0,0,2373,0,0,0,0,0,0,1515,3279,13,0,13,154,20,607,-48,0,0,0,1301,2825,19,0,19,0,25,317,0,0,0,0,1007,0,993,0,993,0,1001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5695,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5413,836,28,40,2034,13,13,14,0,0,0,0,0,0,2367,0,0,0,0,0,0,1430,2905,13,0,13,150,19,496,-59,0,0,0,1326,2983,19,0,20,0,27,355,0,0,0,0,1007,0,993,0,993,0,1000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8551,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,116,27,40,2034,13,14,14,0,0,0,0,0,0,2354,0,0,0,0,0,0,1502,2996,13,0,13,151,20,531,-45,0,0,0,1351,3138,19,0,20,0,27,364,0,0,0,0,1006,0,993,0,993,0,999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1421,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,401,27,40,2034,18,16,30,0,0,0,0,0,0,2367,0,0,0,0,0,0,1648,2823,13,0,13,221,22,692,-60,0,0,0,1369,2718,19,0,20,0,27,410,0,0,0,0,1014,0,993,0,993,0,1008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4260,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,691,28,40,2034,18,16,29,0,0,0,0,0,0,2342,0,0,0,0,0,0,1623,2667,13,0,14,235,23,687,-48,0,0,0,1394,2440,19,0,21,0,29,413,0,0,0,0,1013,0,993,0,993,0,1007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7098,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,971,27,40,2034,15,14,21,0,0,0,0,0,0,2392,0,0,0,0,0,0,1504,2872,13,0,13,186,20,577,-1,0,0,0,1332,2918,19,0,20,0,27,393,0,0,0,0,1009,0,993,0,993,0,1002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
